id,iess_code,job_worker,ocupational_structure,detail_job,wage
ec_101011301114,101011301114,PEGADOR  DE CARTÓN  ,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA COSECHA POR CAJA,10.5646
ec_101011301115,101011301115,PEGADOR  DE CARTÓN  ,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA COSECHA POR CAJA,0.0089
ec_101011301116,101011301116,CORTE DE RACIMOS,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA COSECHA RACIMO,0.0649
ec_101011301117,101011301117,TRANSPORTE DE RACIMO MEDIANTE MOTOR EN COMBUSTIÓN O POR TRABAJADOR AGRÍCOLA,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA COSECHA RACIMO,0.0219
ec_101011301118,101011301118,ENFUNDE Y DESFLORE,C3,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA DESHIJE HA,3.4104
ec_101011301119,101011301119,LIMPIADOR SE ENCARGA DE ELIMINAR TODOS LOS HIJES QUE NO HAN SIDO ESCOGIDOS,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA DESHIJE HA,10.9104
ec_101011301120,101011301120,SELECTOR SE DEDICA A ESCOGER EL HIJE,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA DESHIJE HA,3.7005
ec_101011301121,101011301121,ENSUNCHE REENSUNCHE Y APUNTALAMIENTO,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA DESHIJE HA,1.8786
ec_101011301122,101011301122,DESHOJE,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA DESHIJE HA,1.6879
ec_101011301123,101011301123,TRABAJADORES QUE LABORAN EN ACTIVIDADES DE MAYORDOMO DE CAMPO ACTIVIDADES DEL AGRO Y OTRAS LABORES CULTURALES,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA OCUPACIÓN POR CAJA ,10.6931
